,penyakit,gejala,penyembuhan,dokter,tingkat risiko,combined_content,cleaned_content
0,flu,"demam, batuk, sakit tenggorokan, hidung meler atau tersumbat, nyeri otot, sakit kepala, kelelahan","obat bebas, istirahat, cairan","dokter umum, layanan gawat darurat","rendah (0,1%)","flu demam, batuk, sakit tenggorokan, hidung meler atau tersumbat, nyeri otot, sakit kepala, kelelahan obat bebas, istirahat, cairan dokter umum, layanan gawat darurat rendah (0,1%)",flu demam  batuk  sakit tenggorokan  hidung meler atau tersumbat  nyeri otot  sakit kepala  kelelahan obat bebas  istirahat  cairan dokter umum  layanan gawat darurat rendah       
1,bronkitis,"batuk, produksi lendir, sesak napas, nyeri dada","antibiotik, obat bebas, istirahat, cairan","dokter umum, pulmonolog","rendah (0,5%)","bronkitis batuk, produksi lendir, sesak napas, nyeri dada antibiotik, obat bebas, istirahat, cairan dokter umum, pulmonolog rendah (0,5%)",bronkitis batuk  produksi lendir  sesak napas  nyeri dada antibiotik  obat bebas  istirahat  cairan dokter umum  pulmonolog rendah       
2,pneumonia,"demam, batuk, sesak napas, nyeri dada, kelelahan","antibiotik, obat bebas, istirahat, cairan","dokter umum, pulmonolog",sedang (1%),"pneumonia demam, batuk, sesak napas, nyeri dada, kelelahan antibiotik, obat bebas, istirahat, cairan dokter umum, pulmonolog sedang (1%)",pneumonia demam  batuk  sesak napas  nyeri dada  kelelahan antibiotik  obat bebas  istirahat  cairan dokter umum  pulmonolog sedang     
3,serangan jantung,"nyeri dada, sesak napas, mual, muntah, pusing, berkeringat",layanan medis darurat,kardiolog,tinggi (20%),"serangan jantung nyeri dada, sesak napas, mual, muntah, pusing, berkeringat layanan medis darurat kardiolog tinggi (20%)",serangan jantung nyeri dada  sesak napas  mual  muntah  pusing  berkeringat layanan medis darurat kardiolog tinggi      
4,stroke,"kelemahan tiba-tiba, mati rasa di satu sisi tubuh, kebingungan, kesulitan bicara, masalah penglihatan di satu mata, sakit kepala parah",layanan medis darurat,neurolog,tinggi (15%),"stroke kelemahan tiba-tiba, mati rasa di satu sisi tubuh, kebingungan, kesulitan bicara, masalah penglihatan di satu mata, sakit kepala parah layanan medis darurat neurolog tinggi (15%)",stroke kelemahan tiba tiba  mati rasa di satu sisi tubuh  kebingungan  kesulitan bicara  masalah penglihatan di satu mata  sakit kepala parah layanan medis darurat neurolog tinggi      
5,kanker,"benjolan, penurunan berat badan, kelelahan, perubahan kebiasaan buang air besar atau kecil, batuk terus-menerus, gangguan pencernaan, pendarahan atau cairan yang tidak biasa","operasi, kemoterapi, radioterapi",onkolog,bervariasi tergantung jenis kanker,"kanker benjolan, penurunan berat badan, kelelahan, perubahan kebiasaan buang air besar atau kecil, batuk terus-menerus, gangguan pencernaan, pendarahan atau cairan yang tidak biasa operasi, kemoterapi, radioterapi onkolog bervariasi tergantung jenis kanker",kanker benjolan  penurunan berat badan  kelelahan  perubahan kebiasaan buang air besar atau kecil  batuk terus menerus  gangguan pencernaan  pendarahan atau cairan yang tidak biasa operasi  kemoterapi  radioterapi onkolog bervariasi tergantung jenis kanker
6,diabetes,"rasa haus berlebihan, sering buang air kecil, penurunan berat badan, kelelahan, penglihatan kabur, luka lama sembuh","diet, olahraga, obat-obatan",endokrinolog,tinggi (25%),"diabetes rasa haus berlebihan, sering buang air kecil, penurunan berat badan, kelelahan, penglihatan kabur, luka lama sembuh diet, olahraga, obat-obatan endokrinolog tinggi (25%)",diabetes rasa haus berlebihan  sering buang air kecil  penurunan berat badan  kelelahan  penglihatan kabur  luka lama sembuh diet  olahraga  obat obatan endokrinolog tinggi      
7,penyakit Alzheimer,"hilang ingatan, kebingungan, kesulitan berpikir, perubahan perilaku","tidak ada obat untuk Alzheimer, namun pengobatan dapat membantu mengatasi gejalanya",neurolog,tinggi (70%),"penyakit Alzheimer hilang ingatan, kebingungan, kesulitan berpikir, perubahan perilaku tidak ada obat untuk Alzheimer, namun pengobatan dapat membantu mengatasi gejalanya neurolog tinggi (70%)",penyakit alzheimer hilang ingatan  kebingungan  kesulitan berpikir  perubahan perilaku tidak ada obat untuk alzheimer  namun pengobatan dapat membantu mengatasi gejalanya neurolog tinggi      
8,artritis,"nyeri, kekakuan, pembengkakan, peradangan pada sendi","obat-obatan, terapi fisik, perubahan gaya hidup",reumatolog,bervariasi tergantung jenis artritis,"artritis nyeri, kekakuan, pembengkakan, peradangan pada sendi obat-obatan, terapi fisik, perubahan gaya hidup reumatolog bervariasi tergantung jenis artritis",artritis nyeri  kekakuan  pembengkakan  peradangan pada sendi obat obatan  terapi fisik  perubahan gaya hidup reumatolog bervariasi tergantung jenis artritis
9,adenovirus,"demam, sakit tenggorokan, batuk, konjungtivitis, ruam, mata merah","antibiotik, obat bebas, istirahat, cairan","dokter umum, layanan gawat darurat","rendah (0,1%)","adenovirus demam, sakit tenggorokan, batuk, konjungtivitis, ruam, mata merah antibiotik, obat bebas, istirahat, cairan dokter umum, layanan gawat darurat rendah (0,1%)",adenovirus demam  sakit tenggorokan  batuk  konjungtivitis  ruam  mata merah antibiotik  obat bebas  istirahat  cairan dokter umum  layanan gawat darurat rendah       
