penyakit,gejala,penyembuhan,dokter,tingkat risiko
flu,"demam, batuk, sakit tenggorokan, hidung meler atau tersumbat, nyeri otot, sakit kepala, kelelahan","obat bebas, istirahat, cairan","dokter umum, layanan gawat darurat","rendah (0,1%)"
bronkitis,"batuk, produksi lendir, sesak napas, nyeri dada","antibiotik, obat bebas, istirahat, cairan","dokter umum, pulmonolog","rendah (0,5%)"
pneumonia,"demam, batuk, sesak napas, nyeri dada, kelelahan","antibiotik, obat bebas, istirahat, cairan","dokter umum, pulmonolog","sedang (1%)"
serangan jantung,"nyeri dada, sesak napas, mual, muntah, pusing, berkeringat","layanan medis darurat","kardiolog","tinggi (20%)"
stroke,"kelemahan tiba-tiba, mati rasa di satu sisi tubuh, kebingungan, kesulitan bicara, masalah penglihatan di satu mata, sakit kepala parah","layanan medis darurat","neurolog","tinggi (15%)"
kanker,"benjolan, penurunan berat badan, kelelahan, perubahan kebiasaan buang air besar atau kecil, batuk terus-menerus, gangguan pencernaan, pendarahan atau cairan yang tidak biasa","operasi, kemoterapi, radioterapi","onkolog","bervariasi tergantung jenis kanker"
diabetes,"rasa haus berlebihan, sering buang air kecil, penurunan berat badan, kelelahan, penglihatan kabur, luka lama sembuh","diet, olahraga, obat-obatan","endokrinolog","tinggi (25%)"
penyakit Alzheimer,"hilang ingatan, kebingungan, kesulitan berpikir, perubahan perilaku","tidak ada obat untuk Alzheimer, namun pengobatan dapat membantu mengatasi gejalanya","neurolog","tinggi (70%)"
artritis,"nyeri, kekakuan, pembengkakan, peradangan pada sendi","obat-obatan, terapi fisik, perubahan gaya hidup","reumatolog","bervariasi tergantung jenis artritis"
adenovirus,"demam, sakit tenggorokan, batuk, konjungtivitis, ruam, mata merah","antibiotik, obat bebas, istirahat, cairan","dokter umum, layanan gawat darurat","rendah (0,1%)"
aflatoksikosis,"muntah, diare, penyakit kuning, kerusakan hati, kematian","tidak ada obat, perawatan mungkin mencakup perawatan suportif atau transplantasi hati","gastroenterolog","tinggi (70%)"
alkoholisme,"ketergantungan fisik pada alkohol, toleransi, gejala putus zat, gangguan penilaian, masalah memori, kerusakan hati, penyakit jantung, kanker","konseling, obat-obatan, kelompok dukungan","psikiater, spesialis kecanduan","tinggi (25%)"
rhinitis alergi,"hidung meler, bersin, mata gatal, hidung gatal, tenggorokan gatal","obat bebas, suntikan alergi","ahli alergi","rendah (0,1%)"
anemia,"kelelahan, sesak napas, kulit pucat, pusing","tergantung jenis anemia, mungkin mencakup obat-obatan, transfusi darah, atau operasi","hematolog","bervariasi tergantung jenis anemia"
gangguan kecemasan,"kekhawatiran berlebihan, ketakutan, kecemasan yang mengganggu kehidupan sehari-hari","terapi, obat-obatan, atau kombinasi keduanya","psikolog, psikiater","bervariasi tergantung jenis gangguan kecemasan"
apendisitis,"nyeri di perut kanan bawah, mual, muntah, demam","apendektomi","ahli bedah","tinggi (20%)"
asma,"mengi, sesak napas, batuk, dada sesak","obat-obatan, perubahan gaya hidup, suntikan alergi","ahli alergi, pulmonolog","bervariasi"
tuberkulosis,"batuk yang tidak kunjung sembuh, demam, keringat malam, penurunan berat badan, kelelahan, nyeri dada","antibiotik","dokter umum, pulmonolog","tinggi (20%)"
batu ginjal,"nyeri di punggung bawah atau samping, nyeri saat buang air kecil, urine berdarah, mual, muntah","minum air, obat-obatan, atau prosedur medis seperti ESWL","urolog","sedang (10%)"
sirosis,"kelelahan, penurunan berat badan, mual, kulit dan mata menguning (penyakit kuning), pembengkakan pada perut atau kaki","tidak dapat disembuhkan, perawatan mencakup perubahan gaya hidup, obat-obatan, dan transplantasi hati","gastroenterolog","tinggi (70%)"
